"ENT","count_2021","count_2022","Pop2020","Perc_2021","Perc_2022"
"AGU",1377,1326,1425607,0.0965904348112769,0.0930130112997481
"BCN",1319,270,3769020,0.0349958344609474,0.00716366588662305
"BCS",1344,131,798447,0.168326764331258,0.0164068497971688
"CAM",1370,80,928363,0.147571585683617,0.00861731887203605
"CHH",1357,200,3146771,0.043123570161286,0.00635572146813352
"CHP",1419,171,731391,0.194013872196951,0.0233801072203514
"CMX",1379,2845,5543828,0.0248745090937165,0.0513183309438893
"COA",1348,183,3741869,0.0360247779919607,0.00489060413392345
"COL",1401,85,9209944,0.0152118188775089,0.000922915492211462
"DUR",1363,143,1832650,0.0743731754563064,0.00780290835675115
"GUA",1502,358,6166934,0.0243557009042095,0.00580515374414579
"GUE",1292,121,3540685,0.0364901142010656,0.00341741781604407
"HID",1382,253,3082841,0.0448287796873079,0.00820671581829877
"JAL",1378,648,8348151,0.01650664919693,0.00776219788070436
"MEX",1423,1964,16992418,0.00837432318343393,0.0115580960873255
"MIC",1517,215,4748846,0.0319446029624881,0.00452741571320696
"MOR",1236,169,1971520,0.0626927446843045,0.00857206622301574
"NAY",1508,114,1235456,0.122060194778284,0.00922736220472441
"NLE",1352,562,5784442,0.0233730409951383,0.00971571674502052
"OAX",1381,1491,4132148,0.0334208745669323,0.0360829282978248
"PUE",1344,438,6583278,0.020415361465823,0.00665322047770123
"QUE",1360,235,2368467,0.0574211082527221,0.00992202973484537
"ROO",1427,186,1857985,0.0768036340444083,0.0100108450821724
"SIN",1441,136,2822255,0.0510584621162864,0.00481884167093335
"SLP",1447,250,3026943,0.0478040055594043,0.00825915783680102
"SON",1398,290,2944840,0.0474728677958735,0.00984773366294943
"TAB",1486,205,2402598,0.0618497143508818,0.00853243031085517
"TAM",1319,123,3527735,0.0373894297615892,0.00348665645236958
"TLA",1344,90,1342977,0.100076174052125,0.00670152951241905
"VER",1168,617,8062579,0.0144866797584247,0.00765263819430482
"YUC",1376,250,2320898,0.0592873965163484,0.0107716926810226
"ZAC",1431,129,1622138,0.0882169087956758,0.00795246766921187
